KÃ½ymet AdÃ½,Vade,Vadeye Kalan GÃ¼n,DÃ¶viz,AlÃ½Ã¾ FiyatÃ½,AlÃ½Ã¾ OranÃ½,SatÃ½Ã¾ FiyatÃ½,SatÃ½Ã¾ OranÃ½
US900123CR91,23.12.2023,215,USD,100.274694,12.18,102.331972,8.51
US900123CF53,22.03.2024,305,USD,96.098333,12.03,98.260278,9.23
US900123CV04,10.08.2024,446,USD,96.113167,11.47,98.204444,9.58
US900123CW86,14.11.2024,542,USD,92.379444,11.44,94.559556,9.77
US900123AW05,05.02.2025,625,USD,96.049014,11.43,98.223986,9.99
US900123CX69,13.03.2025,661,USD,89.321583,11.46,91.452194,10.06
US900123CZ18,14.10.2025,876,USD,90.781917,11.19,92.962333,10.1
US900123DB31,26.01.2026,980,USD,87.525556,10.92,89.723944,9.89
US900123CJ75,14.04.2026,1058,USD,84.221611,10.94,86.458222,9.95
US900123CK49,09.10.2026,1236,USD,84.091292,10.83,86.362375,9.94
US900123CL22,25.03.2027,1403,USD,85.966,10.87,88.197333,10.1
USM88269US88,24.09.2027,1586,USD,93.081556,11.05,95.365333,10.37
US900123DF45,15.01.2028,1699,USD,99.890514,11.34,102.096375,10.72
US900123CP36,17.02.2028,1732,USD,81.141431,10.67,83.487903,9.96
US900123CQ19,24.10.2028,1982,USD,82.388389,10.59,84.738417,9.96
US900123DH01,14.03.2029,2123,USD,93.158833,11.44,95.413917,10.89
US900123CT57,26.04.2029,2166,USD,86.895694,10.8,89.305056,10.21
US900123AL40,15.01.2030,2430,USD,110.175236,10.59,112.954208,10.04
US900123CY43,13.03.2030,2487,USD,75.29325,10.65,77.667417,10.08
US900123DJ66,13.07.2030,2609,USD,90.999542,11.2,93.305236,10.7
US900123DA57,15.01.2031,2795,USD,77.575028,10.73,79.926083,10.2
US900123DC14,26.06.2031,2957,USD,76.880639,10.65,79.244278,10.14
US900123DG28,19.01.2033,3530,USD,93.002125,11.12,95.295208,10.71
US900123DD96,20.09.2033,3774,USD,76.346444,10.48,78.609556,10.06
US900123AT75,14.02.2034,3921,USD,88.793778,10.06,91.341222,9.65
US900123AY60,17.03.2036,4683,USD,75.845319,10.53,78.349514,10.1
US900123BB58,05.03.2038,5401,USD,78.992694,10.24,81.585972,9.84
US900123BG46,30.05.2040,6218,USD,73.385,10.56,76.0255,10.14
US900123BJ84,14.01.2041,6447,USD,66.667333,10.44,69.257667,10.01
US900123CB40,16.04.2043,7269,USD,57.6915,9.8,60.073583,9.41
US900123CG37,17.02.2045,7942,USD,69.712264,10.36,72.181069,9.98
US900123CM05,11.05.2047,8755,USD,60.844694,10.15,63.303639,9.76
XS1843443356,31.03.2025,679,EUR,92.722104,9.47,95.008377,8.03
XS1629918415,14.06.2025,754,EUR,92.093205,9.32,94.357014,8.0
XS1909184753,16.02.2026,1001,EUR,91.389425,9.48,93.720918,8.44
XS2361850527,08.07.2027,1508,EUR,87.977644,9.14,90.229616,8.41
